Distance_(mm),Gray_Value
63.6915,17.6330
63.7436,17.5596
63.7957,17.5872
63.8478,17.5780
63.8999,17.5321
63.9519,17.4679
64.0040,17.5046
64.0561,17.4587
64.1082,17.5046
64.1602,17.3945
64.2123,17.3945
64.2644,17.3670
64.3165,17.3945
64.3686,17.3761
64.4206,17.4037
64.4727,17.3486
64.5248,17.4128
64.5769,17.3303
64.6290,17.3119
64.6810,17.2569
64.7331,17.2752
64.7852,17.2936
64.8373,17.2661
64.8893,17.2752
64.9414,17.2294
64.9935,17.2385
65.0456,17.2569
65.0977,17.1651
65.1497,17.2110
65.2018,17.2018
65.2539,17.2294
65.3060,17.1835
65.3580,17.2110
65.4101,17.1743
65.4622,17.2110
65.5143,17.1835
65.5664,17.2202
65.6184,17.1927
65.6705,17.1835
65.7226,17.1927
65.7747,17.1101
65.8268,17.1284
65.8788,17.1468
65.9309,17.1376
65.9830,17.1376
66.0351,17.1193
66.0871,17.1284
66.1392,17.1009
66.1913,17.0917
66.2434,17.1284
66.2955,17.1193
66.3475,17.1009
66.3996,17.1009
66.4517,17.1193
66.5038,17.0642
66.5558,17.0183
66.6079,17.0550
